start,end,timestamp,conversation,word_count,contains_question,duration,agreement_score,question_score,disagreement_score,sentiment_score,tfidf_score,highlight_score,event,rank
579.5600000000001,582.64,09:39,"
Previous:
What would be a better message? And to figure that out, I had to go back to square one, like, what do I want?

Current:
Why did I say yes to this speaking gig?

Next:
What is my deeper purpose here? And I realized at the heart of it, I just want to help my audience to the best of my
",0.7407407407407407,0.0,0.584717607973422,0.0,1.0,0.3333333333333333,1.0,0.7774056463883123,67.18,Question,1
571.72,579.5600000000001,09:31,"
Previous:
And that really was not working. But what would work?

Current:
What would be a better message? And to figure that out, I had to go back to square one, like, what do I want?

Next:
Why did I say yes to this speaking gig?
",0.5925925925925926,0.0,0.6744186046511628,0.0,1.0,0.3333333333333333,0.9505841000723663,0.714613743057695,64.89,Question,2
751.44,759.9200000000001,12:31,"
Previous:
Or maybe you're just super excited to have this experience or share with them some cool

Current:
solution you have for their problem. You get to fill in the blank and decide what you want to accomplish.

Next:
And this is not about graduating to some higher level of being where you never again feel
",0.5555555555555556,0.0,0.7342192691029901,1.0,0.2857142857142857,0.6666666666666666,0.9407629484131086,0.589742020625309,64.5,Agreement,3
595.68,600.24,09:55,"
Previous:
What is my deeper purpose here? And I realized at the heart of it, I just want to help my audience to the best of my

Current:
And when I said that, I noticed everything change.

Next:
That's where I found my first silent sentence.
",0.5925925925925926,0.0,0.49833887043189373,0.0,0.6190476190476191,0.6666666666666666,0.9444846479892484,0.8210194005853991,61.52,Question,4
848.4399999999999,854.16,14:08,"
Previous:
What's being broadcast? Then replace that with a better sentence to help set you up for where you'd like to go.

Current:
And most importantly, put it in the script and practice it just as much as the words

Next:
you say out loud. So if you're running your intro in the shower three times in a row, it would go silent
",0.37037037037037035,1.0,0.3089700996677741,0.0,0.42857142857142855,1.0,0.9043729970019642,0.8645894827374347,59.97,Question,5
568.0,571.72,09:28,"
Previous:
I realized I was giving myself an impossible instruction to be perfect.

Current:
And that really was not working. But what would work?

Next:
What would be a better message? And to figure that out, I had to go back to square one, like, what do I want?
",0.7037037037037037,0.0,0.5813953488372093,0.0,0.8095238095238095,0.3333333333333333,0.9335263103483924,0.6548932572807737,58.76,Question,6
199.92000000000002,203.4,03:19,"
Previous:
Number three, superhero stance. Imagine you are a superhero.

Current:
You can do it from your chair. How would a superhero sit?

Next:
Yes, let that change your posture. I see you.
",0.48148148148148145,0.0,0.504983388704319,1.0,0.7142857142857143,0.3333333333333333,0.47430993487025735,0.4134482634000673,58.17,Question,7
207.84,212.0,03:27,"
Previous:
Yes, let that change your posture. I see you.

Current:
Let that bring a smile to your face and have some better eye contact.

Next:
All of that reads as confident and pretending to be a superhero is just a super quick way
",0.6666666666666666,0.0,0.3621262458471761,1.0,0.09523809523809523,0.3333333333333333,0.9710534477411351,0.7112914016507093,56.32,Agreement,8
449.2,453.08,07:29,"
Previous:
read your music every day and then play it for the very first time at the concert on Friday?

Current:
And yet I see speakers do this all the time.

Next:
Give yourself a chance. Practice helps everything. And it can really boost your confidence to practice with purpose by layering in one
",0.7037037037037037,0.0,0.8073089700996678,0.0,0.42857142857142855,0.6666666666666666,0.9417967538509252,0.6664005020364683,55.72,Question,9
252.36,255.16000000000003,04:12,"
Previous:
And if you need an easy shortcut, just make the shape.

Current:
Just make the shape of a confident person.

Next:
The audience cannot read your mind. They don't know how you're feeling.
",0.5185185185185185,1.0,0.5083056478405316,1.0,0.09523809523809523,0.3333333333333333,0.7908611599297012,0.7609001438227745,54.6,Agreement,10
